Time [sec], q1 (deg), q2 (deg), q3 (deg), q4 (deg), q5 (deg), q6 (deg), Px (mm), Py (mm), Pz (mm), Rx (deg), Ry (deg), Rz (deg), c1 (A), c2 (A), c3 (A), c4 (A), c5 (A), c6 (A), Fx R (N), Fy R (N), Fz R (N), Tx R (Nm), Ty R (Nm), Tz R (Nm), Fx A (N), Fy A (N), Fz A (N), Tx A (Nm), Ty A (Nm), Tz A (Nm), Din, Dout
1648486820911.2769, -120.09974140403042, -162.93338765155448, 55.39947311267666, -166.4466183945556, 89.96816016256757, -0.02813036146778347, -611.5752109736645, -728.0011030076693, 679.4140388249969, 45.17292903619278, 172.5838057624255, 5.7367006277711585, 0.2197265923023224, 6.930542469024658, 1.2442048788070679, 0.2444916069507599, -0.0829925611615181, -0.008972168900072575, -0.6442977721342356, 4.892940719895461, -7.710584836649735, -3.2537885678912555, 0.0551134352925645, -0.027778525286363, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648486821912.6162, -120.09629898868874, -162.93338765155448, 55.40288820726167, -166.4473014134726, 89.96609744543822, -0.026081304716779646, -611.5266909936634, -728.0126954782255, 679.4327799410172, 45.17149020275636, 172.58728482174206, 5.733620668917728, 0.2426147758960724, 6.930542469024658, 1.2890410423278809, 0.2489776909351349, -0.0740203931927681, -0.01345825381577015, -1.9053221849387754, 3.978329791957076, -6.280748696064089, -2.7634118940943817, -0.20413230672251162, -0.032737006842180755, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648486822914.5703, -120.09837536619642, -162.93407067047147, 55.40015613159366, -166.4466183945556, 89.96953303059074, -0.02813036146778347, -611.5556490444023, -728.0193674708776, 679.4070821726734, 45.170630080921555, 172.58309755511334, 5.736145483336802, 0.2471924126148224, 6.967163562774658, 1.275590181350708, 0.2400055229663849, -0.0829925611615181, -0.01794433780014515, -1.525038045905408, 4.425604482226025, -7.738808861980917, -3.2208662349159143, -0.05510558053357684, -0.10862221125906105, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648486823915.3943, -120.09837536619642, -162.93202161372048, 55.40015613159366, -166.4466183945556, 89.96747031346139, -0.026764323633780923, -611.5522262982109, -727.9986680978337, 679.4405208905514, 45.17323728037594, 172.58515806889952, 5.733994586311729, 0.2563476860523224, 6.916809558868408, 1.27783203125, 0.2467346489429474, -0.0852356031537056, -0.011215210892260075, -2.0083049781671223, 4.265131320296985, -6.2181052516924264, -2.898585706037784, -0.338572707333796, -0.0003734958054396331, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648486824915.6838, -120.09905838511342, -162.93338765155448, 55.40015613159366, -166.4459080548819, 89.96678729454439, -0.02881338038478475, -611.5679447114196, -728.0049367504683, 679.4203970925336, 45.17124765603999, 172.58604077070606, 5.735200639351898, 0.2563476860523224, 6.958008289337158, 1.2867993116378784, 0.2557068169116974, -0.0807495191693306, -0.008972168900072575, -1.827381356512704, 4.530181503841499, -7.225810387122325, -2.972233509446843, -0.2293306987963107, 0.03008904091384644, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648486825915.6863, -120.09905838511342, -162.93270463263747, 55.401522169427665, -166.4452250359649, 89.96541442652122, -0.026764323633780923, -611.5668366487575, -727.9901640271416, 679.4419857691197, 45.174830227747194, 172.58739845302802, 5.731746488387219, 0.2563476860523224, 6.935120105743408, 1.2823156118392944, 0.2489776909351349, -0.0852356031537056, -0.011215210892260075, -1.9550440278270218, 4.326564646960621, -6.635704298932755, -2.9485894163685207, -0.30782664490662026, -0.0015311222310658845, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648486826917.3984, -120.09837536619642, -162.93407067047147, 55.40357122617867, -166.4479844323896, 89.96747031346139, -0.027447342550782197, -611.5483400957078, -727.9932954160332, 679.4237302913399, 45.17222262752839, 172.58541433925996, 5.733985482368679, 0.2380371391773224, 6.939697742462158, 1.280073881149292, 0.2400055229663849, -0.0852356031537056, -0.004486084450036287, -1.8274662437423201, 4.120516148471465, -6.775601363581557, -3.0404579310285844, -0.2234911295085365, 0.07027965070662998, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648486827919.0686, -120.09769234727942, -162.93270463263747, 55.39947311267666, -166.4473014134726, 89.96678729454439, -0.02539828579977837, -611.5511819657439, -728.0119597280042, 679.4230374399949, 45.174247529216785, 172.58497865281555, 5.737391679049782, 0.2609253227710724, 6.944275379180908, 1.2867993116378784, 0.2534637749195099, -0.0807495191693306, -0.01794433780014515, -1.9123612550476436, 4.360190330463459, -6.797398829570984, -2.8971804252579263, -0.26020235293313226, -0.08475825078027968, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648486828920.3997, -120.09974140403042, -162.92994523621277, 55.401522169427665, -166.4459080548819, 89.96816016256757, -0.026764323633780923, -611.5545507685761, -727.9618567777865, 679.4850291189107, 45.175477533561114, 172.5851835525808, 5.727469205756878, 0.2151489406824112, 6.948853015899658, 1.2576557397842407, 0.2310333549976349, -0.0762634351849556, -0.02018737979233265, -0.8624536849929367, 4.277979459836192, -7.709275204078333, -3.2516497174356607, 0.18536600202695203, -0.1724855712803226, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
1648486829920.4373, -120.09905838511342, -162.9306282551298, 55.401522169427665, -166.4466183945556, 89.96747031346139, -0.026764323633780923, -611.5497747242553, -727.9720558804977, 679.4716595649008, 45.174475284731315, 172.58570539246787, 5.729860944438604, 0.2792358696460724, 6.967163562774658, 1.2823156118392944, 0.2332763969898224, -0.0785064771771431, -0.01345825381577015, -2.3635445176674375, 4.43461535289498, -7.461502518168844, -3.225657606156834, -0.12791498284193814, -0.0016463503778859911, 0, 0, 0, 0, 0, 0, b00000000, b00000000, 
